ID,Spec_ID,sp,L_Shell,W_Shell,L_Ap,W_Ap,Texture,Site,Lat,Lon,Count,Dive,Sal_ppt,TempC,O2,Depth,Cond,Substrate,Thickness,ORP_sd_100,SENTRY_dive
EC9350,2,goniata,6.171148393,3.596266541,3.780529301,2.446030246,0.50879017,Jaco Scar,9.117779,-84.839517,10,214,34.62549661,2.639471186,101.13595,1802.997339,3.18,Rock,0.27,-0.033758903,503
EC9350,3,goniata,7.478520794,4.668431002,4.885775047,3.428875236,0.400779773,Jaco Scar,9.117779,-84.839517,10,214,34.62549661,2.639471186,101.13595,1802.997339,3.18,Rock,0.36,-0.033758903,503
EC9350,4,goniata,7.047471645,4.665453686,4.484499055,3.038185255,0.597944234,Jaco Scar,9.117779,-84.839517,10,214,34.62549661,2.639471186,101.13595,1802.997339,3.18,Rock,0.04,-0.033758903,503
EC9350,5,goniata,8.927977316,5.250330813,5.340973535,3.401086957,0.575862476,Jaco Scar,9.117779,-84.839517,10,214,34.62549661,2.639471186,101.13595,1802.997339,3.18,Rock,0.09,-0.033758903,503
EC9436,1,laevis,6.550094518,4.097117202,4.53842155,2.791068053,0,The Thumb,9.048866,-84.394112,20,217,34.58026949,4.505240678,NA,1073.282068,3.31,Mussel,0.27,NA,NA
EC9436,2,laevis,4.834333648,3.229064272,3.419281664,2.187334594,0,The Thumb,9.048866,-84.394112,20,217,34.58026949,4.505240678,NA,1073.282068,3.31,Mussel,0.4,NA,NA
EC9436,3,laevis,6.720297732,4.448771267,4.323062382,3.228733459,0,The Thumb,9.048866,-84.394112,20,217,34.58026949,4.505240678,NA,1073.282068,3.31,Mussel,0.34,NA,NA
EC9436,4,laevis,5.848936673,4.072306238,4.16758034,2.925708885,0,The Thumb,9.048866,-84.394112,20,217,34.58026949,4.505240678,NA,1073.282068,3.31,Mussel,0.21,NA,NA
EC9436,5,laevis,6.337381853,4.212901701,4.583742911,2.952835539,0,The Thumb,9.048866,-84.394112,20,217,34.58026949,4.505240678,NA,1073.282068,3.31,Mussel,0.57,NA,NA
EC9454,1,laevis,7.016375236,4.447117202,4.604914934,2.973345936,0,The Thumb,9.048836,-84.393773,61,217,34.57910339,4.590679661,NA,1071.972797,3.32,Mussel,0.1,NA,NA
EC9454,2,laevis,6.274362004,3.952882798,4.011436673,2.747400756,0,The Thumb,9.048836,-84.393773,61,217,34.57910339,4.590679661,NA,1071.972797,3.32,Mussel,0.18,NA,NA
EC9454,3,laevis,6.898771267,4.645935728,5.193431002,3.431190926,0,The Thumb,9.048836,-84.393773,61,217,34.57910339,4.590679661,NA,1071.972797,3.32,Mussel,0.11,NA,NA
EC9454,4,laevis,7.882112476,5.104111531,5.46668242,3.548298677,0,The Thumb,9.048836,-84.393773,61,217,34.57910339,4.590679661,NA,1071.972797,3.32,Mussel,0.14,NA,NA
EC9454,5,laevis,8.203000945,5.228497164,5.570226843,3.632655955,0.038291588,The Thumb,9.048836,-84.393773,61,217,34.57910339,4.590679661,NA,1071.972797,3.32,Mussel,0.38,NA,NA
EC9470,1,laevis,6.754206049,4.467958412,4.887429112,2.870793951,0,The Thumb,9.048871,-84.393744,31,217,34.57838136,4.618650847,NA,1073.207475,3.32,Mussel,0.22,NA,NA
EC9470,2,laevis,3.372306238,2.06758034,2.241587902,1.533979206,0,The Thumb,9.048871,-84.393744,31,217,34.57838136,4.618650847,NA,1073.207475,3.32,Mussel,0.35,NA,NA
EC9470,3,laevis,5.103449905,3.230387524,3.549621928,2.088752363,0,The Thumb,9.048871,-84.393744,31,217,34.57838136,4.618650847,NA,1073.207475,3.32,Mussel,0.28,NA,NA
EC9470,4,laevis,5.716611531,3.86389414,3.720652174,2.290217391,0,The Thumb,9.048871,-84.393744,31,217,34.57838136,4.618650847,NA,1073.207475,3.32,Mussel,0.11,NA,NA
EC9470,5,laevis,6.796550095,4.768005671,4.861956522,3.421928166,0,The Thumb,9.048871,-84.393744,31,217,34.57838136,4.618650847,NA,1073.207475,3.32,Mussel,0.12,NA,NA
EC9478,1,laevis,6.988256144,4.733601134,4.981379962,3.152646503,0,The Thumb,9.048896,-84.353839,81,217,34.57785424,4.675932203,NA,1071.481525,3.33,Mussel,0.22,NA,NA
EC9478,2,laevis,4.622778828,3.182750473,3.327977316,2.13705104,0,The Thumb,9.048896,-84.353839,81,217,34.57785424,4.675932203,NA,1071.481525,3.33,Mussel,0.23,NA,NA
EC9478,3,laevis,6.004253308,3.928733459,4.058412098,2.609451796,0,The Thumb,9.048896,-84.353839,81,217,34.57785424,4.675932203,NA,1071.481525,3.33,Mussel,0.36,NA,NA
EC9478,4,laevis,7.371999055,4.993289225,5.405482042,3.317060491,0,The Thumb,9.048896,-84.353839,81,217,34.57785424,4.675932203,NA,1071.481525,3.33,Mussel,0.19,NA,NA
EC9478,5,laevis,5.939248582,3.982986767,4.189744802,2.627977316,0,The Thumb,9.048896,-84.353839,81,217,34.57785424,4.675932203,NA,1071.481525,3.33,Mussel,0.3,NA,NA
EC9482,1,laevis,5.447329868,3.807655955,4.039555766,2.568100189,0,The Thumb,9.048821,-84.394156,22,217,34.58046441,4.500683051,NA,1074.128644,3.31,Tubeworm,0.18,NA,NA
EC9482,2,laevis,5.042084121,3.526465028,3.5231569,2.335869565,0,The Thumb,9.048821,-84.394156,22,217,34.58046441,4.500683051,NA,1074.128644,3.31,Tubeworm,0.14,NA,NA
EC9482,3,laevis,5.275968809,3.424243856,3.669706994,2.374905482,0.036720227,The Thumb,9.048821,-84.394156,22,217,34.58046441,4.500683051,NA,1074.128644,3.31,Tubeworm,0.05,NA,NA
EC9482,4,laevis,3.842556711,2.583648393,2.448345936,1.693761815,0.039862949,The Thumb,9.048821,-84.394156,22,217,34.58046441,4.500683051,NA,1074.128644,3.31,Tubeworm,0.12,NA,NA
EC9482,5,laevis,3.31573724,2.13936673,2.297164461,1.454584121,0,The Thumb,9.048821,-84.394156,22,217,34.58046441,4.500683051,NA,1074.128644,3.31,Tubeworm,0.23,NA,NA
EC9486,1,laevis,6.911342155,4.438516068,4.513279773,2.865831758,0.035562382,The Thumb,9.048835323,-84.39417277,600,217,34.58019661,4.517674576,NA,1075.051932,3.31,Mussel,0.2,NA,NA
EC9486,2,laevis,6.968241966,4.465973535,4.75973535,2.980954631,0.025389887,The Thumb,9.048835323,-84.39417277,600,217,34.58019661,4.517674576,NA,1075.051932,3.31,Mussel,0.27,NA,NA
EC9486,3,laevis,5.808246692,3.865879017,4.098109641,2.547589792,0.026713138,The Thumb,9.048835323,-84.39417277,600,217,34.58019661,4.517674576,NA,1075.051932,3.31,Mussel,0.35,NA,NA
EC9486,4,laevis,7.047306238,4.510964083,4.890075614,3.154962193,0.028036389,The Thumb,9.048835323,-84.39417277,600,217,34.58019661,4.517674576,NA,1075.051932,3.31,Mussel,0.15,NA,NA
EC9486,5,laevis,7.68610586,4.933081285,5.299621928,3.430198488,0.019269849,The Thumb,9.048835323,-84.39417277,600,217,34.58019661,4.517674576,NA,1075.051932,3.31,Mussel,0.17,NA,NA
M12301,1,goniata,8.745864839,5.523251418,5.634404537,3.812287335,0.257124291,Jaco Scar,9.11821667,-84.839116,42,4874,34.62410625,2.73796875,85.605823,1757.0485,3.188625625,Tubeworm,0.44,-0.30765489,436
M12301,2,goniata,7.57544896,4.599291115,4.522873346,3.125850662,0.27870983,Jaco Scar,9.11821667,-84.839116,42,4874,34.62410625,2.73796875,85.605823,1757.0485,3.188625625,Tubeworm,0.48,-0.30765489,436
M12301,3,goniata,7.472400756,4.730623819,4.894376181,2.929017013,0.167143195,Jaco Scar,9.11821667,-84.839116,42,4874,34.62410625,2.73796875,85.605823,1757.0485,3.188625625,Tubeworm,0.62,-0.30765489,436
M12301,4,goniata,6.405033081,4.015406427,3.994565217,2.41758034,0.313693289,Jaco Scar,9.11821667,-84.839116,42,4874,34.62410625,2.73796875,85.605823,1757.0485,3.188625625,Tubeworm,0.48,-0.30765489,436
M12301,5,goniata,4.998582231,2.76294896,2.776512287,1.782088847,0.232313327,Jaco Scar,9.11821667,-84.839116,42,4874,34.62410625,2.73796875,85.605823,1757.0485,3.188625625,Tubeworm,0.27,-0.30765489,436
